KIAA0748,9065,15.211025,5.399884838
EGFL7,5619,13.159293,4.700360744
SLCO2A1,17016,12.309899,4.410765627
RASGRF2,15128,12.25148,4.390848066
TPBG,18749,12.014272,4.309973609
GALNT9,6985,11.925003,4.279537949
MKX,11565,11.86689,4.259724717
C13orf16,2164,11.815513,4.242208077
CABP1,3102,11.680487,4.19617188
SUSD5,17740,11.341781,4.080692369
OR14I1,12950,11.319393,4.073059332
TNNT2,18679,11.245148,4.047746004
PRSS16,14664,11.236234,4.044706836
MCHR2,11299,11.236069,4.04465058
LRRC8B,10922,11.202844,4.033322742
MUM1L1,11958,11.107922,4.000959731
C21orf128,2631,10.888956,3.92630476
EPHX4,5845,10.632314,3.838804413
KIF17,9165,10.544329,3.808806524
PREP,14522,10.507412,3.796219924
STARD4,17587,10.474496,3.784997437
TMEM81,18554,10.327882,3.735010389
NETO2,12324,10.306707,3.727790917
FBXO40,6454,10.291635,3.722652221
FMN1,6700,10.167214,3.680231726
HAPLN4,7757,10.152623,3.675257023
AC112641.2,359,10.052862,3.641244188
CDH18,3690,10.043188,3.637945903
STEAP1,17606,10.01452,3.628171743
CA10,3081,9.990732,3.620061386
SERTAD4,16411,9.98695,3.618771939
HR,8197,9.953379,3.607326134
C11orf87,2104,9.935069,3.601083464
GNG13,7309,9.930541,3.599539673
KMO,9313,9.863742,3.576765008
RARB,15107,9.8337,3.566522392
AC005551.1,141,9.831871,3.565898807
CCK,3457,9.829645,3.565139867
CASQ1,3255,9.759424,3.541198494
MAPK13,11185,9.738975,3.534226546
C13orf33,2172,9.735745,3.5331253
VSTM2L,19639,9.716464,3.526551574
NUAK1,12712,9.676029,3.512765535
CRLF1,4466,9.641962,3.501150623
KCNC2,8887,9.630322,3.497182044
OLFM3,12857,9.603706,3.488107499
UBXN10,19309,9.601897,3.487490733
KIAA1467,9117,9.546373,3.468560202
SLCO4C1,17020,9.543645,3.467630109
C21orf110,2629,9.531362,3.463442304
MIR7-3HG,11546,9.516213,3.458277355
CRH,4448,9.484768,3.447556396
WDR24,19700,9.467561,3.441689786
SPON2,17396,9.454597,3.437269798
IPCEF1,8661,9.39222,3.416002784
RTP1,16001,9.39065,3.415467503
SHD,16560,9.368693,3.407981413
LOC646548,10592,9.323717,3.392647151
LGI3,9663,9.296353,3.383317581
PRAP1,14488,9.218837,3.356889027
STEAP2,17607,9.214009,3.355242953
NAT6,12157,9.200507,3.350639538
KCNS1,8963,9.177407,3.34276375
SYCE1,17756,9.111221,3.320198083
KCNJ12,8918,9.106099,3.318451772
ASGR2,1430,9.099265,3.316121766
FREM3,6798,9.071549,3.306672184
OPN3,12884,9.069389,3.305935746
MCOLN1,11311,9.051097,3.299699213
KRT5,9372,9.042379,3.29672687
HERC6,7877,9.021135,3.289483873
PVALB,14889,9.010011,3.28569122
PRPS2,14631,8.958838,3.268244134
CCDC85A,3436,8.953623,3.266466115
SLC39A10,16901,8.952141,3.265960837
RHEBL1,15392,8.936334,3.260571548
PDE6H,13669,8.930325,3.25852282
ANKRD56,1028,8.923429,3.256171675
LOC646627,10594,8.913784,3.252883278
LAMB3,9515,8.893494,3.245965541
BAIAP2L2,1698,8.886788,3.243679175
ABHD12B,87,8.860642,3.234764874
CCDC110,3321,8.856631,3.233397351
DBNDD1,4878,8.805424,3.215938672
ATRNL1,1603,8.792973,3.211693588
MYO15A,12038,8.783664,3.208519748
ONECUT2,12872,8.779658,3.207153929
ADPRHL1,646,8.767289,3.202936803
RGS4,15370,8.758325,3.199880588
NRGN,12646,8.745973,3.195669257
FAM75A4,6318,8.696316,3.17873904
NGB,12380,8.690066,3.176608145
AC079341.1,293,8.627634,3.155322379
LASS6,9547,8.618349,3.152156721
RTKN2,15991,8.577855,3.138350567
KCNJ11,8917,8.549688,3.128747219
CRYBB1,4494,8.535742,3.123992425
WNT2,19813,8.527769,3.121274085
CPNE8,4394,8.527407,3.121150664
PKP3,14015,8.525406,3.120468436
FBLN7,6404,8.520033,3.118636548
SPRN,17406,8.519907,3.11859359
SND1-IT1,17140,8.512889,3.11620085
ABCC12,61,8.509761,3.11513438
NOS2,12535,8.496788,3.110711324
TPST2,18782,8.454337,3.096237943
GMPPA,7277,8.445047,3.093070581
CHIT1,3920,8.433083,3.088991536
CDCA5,3676,8.409887,3.081083018
FAM162B,6156,8.396238,3.076429484
WNT7A,19821,8.364572,3.065633176
CACNG2,3128,8.348634,3.060199223
HTR1E,8300,8.346915,3.059613142
AP005433.1,1115,8.337776,3.056497262
LOC100294469,10288,8.326272,3.052575051
KLK5,9297,8.32524,3.052223198
LDLR,9610,8.311266,3.047458857
ABTB1,112,8.307507,3.046177252
TUBGCP4,19159,8.301306,3.044063063
TWIST2,19178,8.299798,3.043548921
ACTN2,515,8.29008,3.040235635
GNB1L,7299,8.283253,3.037908015
GJD4,7196,8.265865,3.031979695
PHLDA2,13872,8.227917,3.019041582
KCNH5,8907,8.214584,3.014495786
LY86-AS1,11002,8.172062,2.999998199
NTN4,12701,8.103614,2.976661318
DENND2D,5046,8.084769,2.970236243
FRMPD2,6814,8.073038,2.966236638
PLXDC1,14143,8.018318,2.947580226
PRTN3,14683,8.004206,2.942768835
TNNT3,18680,7.990478,2.938088367
AVPI1,1628,7.983911,2.935849393
IGFBP4,8441,7.975999,2.93315185
C12orf64,2150,7.974798,2.932742377
STBD1,17603,7.970356,2.931227908
AC109486.1,354,7.932843,2.918438105
ST8SIA5,17563,7.916649,2.912916871
NPY5R,12604,7.910248,2.910734493
LCP2,9598,7.905691,2.909180815
DRGX,5398,7.898989,2.906895814
C7orf23,2935,7.886317,2.902575381
CAMKK2,3179,7.884517,2.901961684
GABRA1,6924,7.875845,2.899005024
CLPB,4129,7.870072,2.897036759
KCNS2,8964,7.867999,2.896329984
BMPER,1867,7.855872,2.892195365
SGK493,16494,7.848514,2.889686705
NMU,12497,7.842401,2.887602519
FBXW7,6475,7.828849,2.882982057
MYH7B,12016,7.828147,2.882742715
SLC22A18,16731,7.803905,2.874477569
CYP2E1,4788,7.788935,2.86937365
PTH2R,14809,7.782074,2.867034438
KREMEN2,9333,7.780896,2.866632807
FBXO32,6447,7.777381,2.865434392
MYOM2,12069,7.77013,2.862962213
IER5L,8372,7.744448,2.854206109
VSNL1,19635,7.721452,2.846365779
MAPK4,11190,7.721318,2.846320093
DUSP2,5460,7.706215,2.841170827
EFNA5,5607,7.687044,2.834634605
FAM84A,6340,7.670912,2.829134509
WSB2,19832,7.649592,2.8218656
RNF26,15551,7.633596,2.816411872
LOC375295,10395,7.616712,2.810655387
